CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d)
C51564,90179,3101494,6070164.77,7714913.6,0,0,0
C51564,90179,3101410,0,0,0,4584100,0
C51564,90179,3100772,778770.96,346657.76,0,554608.96,0
C51564,90179,3101469,2179347.8,360034.65,0,12686499.73,0
C51564,90179,3100946,669121.91,49022.62,0,1462491.24,0
C51564,90179,3101274,610126.88,0,0,7554388.67,0
C51564,90179,4200111,1047055.32,24724.64,0,7641019.06,0
C51564,90179,3100915,3178860.8,18289.83,0,8785271,0
C51564,90179,3100580,7176145.69,86327.14,0,10700611.1,0
C51564,90179,3100768,22225379.99,414660.09,0,24395413.95,0
C51564,90179,1000014,78203413.75,1193210.54,0,103820809.2,0
C51564,90179,3100561,881237.3,3913715.96,0,2734403.6,0
C51564,90179,3101577,317592.55,354945.56,0,0,0
C51564,90179,3101160,8940546,248320.89,4352698.77,5337768.79,0
C51564,90179,3100809,1130529.6,66495.56,0,2606304.34,0
C51564,90179,3101400,41007065.03,42931079.18,0,857389.02,0
C51564,90179,3100645,33515748.75,577257.94,0,51099798.22,0
C51564,90179,3100910,6562629,1060083.97,1801300.68,4569784.57,0
C51564,90179,3101000,124639.7,1713.56,0,517425.55,0
C51564,90179,3100470,0,0,0,1880908.8,0
C51564,90179,4100038,0,2397590.23,0,0,0
C51564,90179,3100945,1896778.14,0,0,2709680,0
C51564,90179,3100964,14583620,195765.75,0,16266561.43,0
C51564,90179,3100526,872477.9,3853.29,0,1113114.69,0
C51564,90179,3101683,0,1000000,0,0,0
C51564,90179,3100386,0,0,0,1914267.76,0
C51564,90179,3100546,1400358.79,864710.68,0,642032.44,0
C51564,90179,3101670,0,4000000,0,0,0
C51564,90179,3100626,0,982648.8,0,0,0
C51564,90179,3100793,1506732,5526.57,0,14439360.21,0
C51564,90179,10000241,0,0,0,966150.67,0
C51564,90179,3100471,8005646.78,199056.17,0,17349598.71,0
C51564,90179,3101290,3351574.88,62128.65,0,7155136,0
C51564,90179,4100027,9933940,251858.85,2237075.73,6272515.32,1172490.1
C51564,90179,4200105,0,0,0,4302610.5,0
C51564,90179,3100743,37550293.2,540194.42,0,38829921.21,0
C51564,90179,3101097,43740543.64,18910524.01,44140058.6,58694896.39,0
C51564,90179,3100853,15094673.3,306997.69,0,16123858.77,0
C51564,90179,3100549,412395.08,205887.49,0,4442876.4,0
C51564,90179,3101281,4233391.03,701027.16,0,4261082.79,0
